Source,Target,Type,Id,Label
"BU","TH","Undirected","1","3.1.13"
"GI","MN","Undirected","2","3.2.6"
"MG","MP","Undirected","3","3.2.8"
"MG","MV","Undirected","4","3.2.8"
"MG","TG","Undirected","5","3.2.8"
"GI","MG","Undirected","6","3.2.8"
"MA","MG","Undirected","7","3.2.8"
"GI","MA","Undirected","8","3.2.8"
"BT","GI","Undirected","9","3.3.1"
"BT","LA","Undirected","10","3.3.1"
"GI","MG","Undirected","11","3.3.1"
"MA","MG","Undirected","12","3.3.1"
"GI","MA","Undirected","13","3.3.1"
"GP","NP","Undirected","14","3.3.2"
"GP","MP","Undirected","15","3.3.2"
"MA","MG","Undirected","16","3.3.2"
"AM","GP","Undirected","17","3.3.2"
"GP","MM","Undirected","18","3.3.2"
"AM","MM","Undirected","19","3.3.2"
"BT","MA","Undirected","20","3.3.3"
"GI","MA","Undirected","21","3.3.4"
"GP","MA","Undirected","22","3.3.4"
"AM","GP","Undirected","23","3.3.4"
"DV","GP","Undirected","24","3.3.4"
"GP","WP","Undirected","25","3.3.4"
"AM","DV","Undirected","26","3.3.4"
"AM","WP","Undirected","27","3.3.4"
"DV","WP","Undirected","28","3.3.4"
"MA","MM","Undirected","29","3.3.5"
"GI","MA","Undirected","30","3.3.5"
"GI","MG","Undirected","31","3.3.5"
"MA","MG","Undirected","32","3.3.5"
"MG","TG","Undirected","33","3.3.7"
"MA","TG","Undirected","34","3.3.7"
"GI","MG","Undirected","35","3.3.8"
"GI","MA","Undirected","36","3.3.8"
"GI","MG","Undirected","37","3.3.8"
"BO","MA","Undirected","38","3.4.2"
"BO","MA","Undirected","39","3.4.2"
"CR","MA","Undirected","40","3.4.2"
"BO","CR","Undirected","41","3.4.2"
"CR","MA","Undirected","42","3.4.3"
"CR","EN","Undirected","43","3.4.3"
"EN","MA","Undirected","44","3.4.3"
"CR","MA","Undirected","45","3.4.3"
"BO","GT","Undirected","46","3.4.4"
"BA","JO","Undirected","47","3.4.4"
"CR","EN","Undirected","48","3.4.5"
"CR","MA","Undirected","49","3.4.5"
"CM","CR","Undirected","50","3.4.5"
"EN","MA","Undirected","51","3.4.5"
"CM","EN","Undirected","52","3.4.5"
"CM","MA","Undirected","53","3.4.5"
"CR","MA","Undirected","54","3.4.6"
"MM","PL","Undirected","55","3.5.4"
"MA","SR","Undirected","56","3.5.5"
"GI","MG","Undirected","57","3.5.6"
"GI","TG","Undirected","58","3.5.6"
"CO","MA","Undirected","59","3.6.1"
"JV","MA","Undirected","60","3.6.1"
"CO","MA","Undirected","61","3.6.1"
"CO","JV","Undirected","62","3.6.1"
"JV","MA","Undirected","63","3.6.2"
"CO","MA","Undirected","64","3.6.2"
"CO","JV","Undirected","65","3.6.2"
"CO","MA","Undirected","66","3.6.3"
"BU","CR","Undirected","67","3.6.5"
"BU","MA","Undirected","68","3.6.5"
"CO","MA","Undirected","69","3.6.5"
"JV","MA","Undirected","70","3.6.5"
"CO","JV","Undirected","71","3.6.5"
"CO","MA","Undirected","72","3.6.6"
"CO","MA","Undirected","73","3.6.6"
"FT","MA","Undirected","74","3.6.6"
"CO","FT","Undirected","75","3.6.6"
"CO","MA","Undirected","76","3.6.8"
"MA","PS","Undirected","77","3.6.9"
"MA","TH","Undirected","78","3.8.4"
"EP","TH","Undirected","79","3.8.7"
"TH","TM","Undirected","80","3.8.7"
"JV","TH","Undirected","81","3.8.8"
"CO","TH","Undirected","82","3.8.8"
"CO","JV","Undirected","83","3.8.8"
"JV","TH","Undirected","84","3.8.9"
"CG","MA","Undirected","85","3.8.10"
"EP","MA","Undirected","86","3.8.11"
"TH","TM","Undirected","87","3.8.12"
"BJ","DU","Undirected","88","3.8.13"
"JV","MA","Undirected","89","3.8.14"
"BO","CR","Undirected","90","3.8.15"
"TH","TM","Undirected","91","3.8.16"
"EP","TH","Undirected","92","3.8.16"
"AZ","TH","Undirected","93","3.8.16"
"EP","TM","Undirected","94","3.8.16"
"AZ","TM","Undirected","95","3.8.16"
"AZ","EP","Undirected","96","3.8.16"
"TH","TM","Undirected","97","3.8.17"
"TH","TM","Undirected","98","3.8.18"
"JV","TH","Undirected","99","3.8.18"
"JV","TM","Undirected","100","3.8.18"
"TH","TM","Undirected","101","3.8.19"
"JV","TH","Undirected","102","3.8.19"
"JV","TM","Undirected","103","3.8.19"
"BB","TH","Undirected","104","3.8.20"
"GU","TH","Undirected","105","3.8.20"
"QU","TH","Undirected","106","3.8.20"
"BB","GU","Undirected","107","3.8.20"
"BB","QU","Undirected","108","3.8.20"
"GU","QU","Undirected","109","3.8.20"
"JV","TH","Undirected","110","3.8.20"
"QU","TH","Undirected","111","3.8.20"
"BB","TH","Undirected","112","3.8.20"
"GU","TH","Undirected","113","3.8.20"
"QU","TH","Undirected","114","3.8.20"
"JV","TH","Undirected","115","3.8.20"
"TH","TM","Undirected","116","3.8.20"
"BB","GU","Undirected","117","3.8.20"
"BB","QU","Undirected","118","3.8.20"
"BB","JV","Undirected","119","3.8.20"
"BB","TM","Undirected","120","3.8.20"
"GU","QU","Undirected","121","3.8.20"
"GU","JV","Undirected","122","3.8.20"
"GU","TM","Undirected","123","3.8.20"
"JV","QU","Undirected","124","3.8.20"
"QU","TM","Undirected","125","3.8.20"
"JV","TM","Undirected","126","3.8.20"
"JV","TH","Undirected","127","3.8.20"
"MA","PN","Undirected","128","3.8.20"
"PN","TH","Undirected","129","3.8.20"
"TH","TM","Undirected","130","3.8.20"
"JA","TH","Undirected","131","3.8.20"
"JA","TH","Undirected","132","3.8.21"
"BB","TH","Undirected","133","3.8.21"
"BB","JA","Undirected","134","3.8.21"
"TH","TM","Undirected","135","3.8.21"
"JA","TM","Undirected","136","3.8.21"
"JA","TH","Undirected","137","3.8.21"
"BB","JA","Undirected","138","3.8.21"
"BJ","JA","Undirected","139","3.8.21"
"DU","JA","Undirected","140","3.8.21"
"GU","JA","Undirected","141","3.8.21"
"JA","QU","Undirected","142","3.8.21"
"JA","PN","Undirected","143","3.8.21"
"BB","BJ","Undirected","144","3.8.21"
"BB","DU","Undirected","145","3.8.21"
"BB","GU","Undirected","146","3.8.21"
"BB","QU","Undirected","147","3.8.21"
"BB","PN","Undirected","148","3.8.21"
"BJ","DU","Undirected","149","3.8.21"
"BJ","GU","Undirected","150","3.8.21"
"BJ","QU","Undirected","151","3.8.21"
"BJ","PN","Undirected","152","3.8.21"
"DU","GU","Undirected","153","3.8.21"
"DU","QU","Undirected","154","3.8.21"
"DU","PN","Undirected","155","3.8.21"
"GU","QU","Undirected","156","3.8.21"
"GU","PN","Undirected","157","3.8.21"
"PN","QU","Undirected","158","3.8.21"
"JA","JV","Undirected","159","3.8.21"
"BU","GA","Undirected","160","3.8.22"
